Cr_number,DOXY_SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4901142,1240,PhaseCoef0=1.064231E+00,PhaseCoef1=1.091973E+00,PhaseCoef2=0.000000E+00,PhaseCoef3=0.000000E+00,c00=5.027450E+03,c01=-1.696439E+02,c02=3.473719E+00,c03=-3.108840E-02,c10=-2.721330E+02,c11=8.196421E+00,c12=-1.680359E-01,c13=1.540629E-03,c20=5.941140E+00,c21=-1.576730E-01,c22=3.274610E-03,c23=-3.088700E-05,c30=-6.030080E-02,c31=1.398610E-03,c32=-2.988590E-05,c33=2.902090E-07,c40=2.338740E-04,c41=-4.686760E-06,c42=1.050690E-07,c43=-1.049079E-09,Sref=0.00E+00,Spreset=0.00E+00,Pcoef1=1.000000E-01,Pcoef2=2.200000E-04,Pcoef3=4.190000E-02,B0=-6.245230E-03,B1=-7.376140E-03,B2=-1.03410e-2,B3=-8.170830E-03,C0=-4.886820E-07,D0=2.445430E+01,D1=-6.745090E+01,D2=-4.8489,D3=-5.44e-4,,,,,,,,,,
4901779,890,A0=1.05130E+00,A1=-1.50000E-03,A2=4.98350E-01,B0=-2.23170E-01,B1=1.71010E+00,C0=8.86770E-02,C1=3.70660E-03,C2=5.24240E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4901780,986,A0=1.05130E+00,A1=-1.50000E-03,A2=4.81210E-01,B0=-2.29050E-01,B1=1.69750E+00,C0=9.24910E-02,C1=3.85600E-03,C2=5.49030E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4901781,968,A0=1.05130E+00,A1=-1.50000E-03,A2=4.10370E-01,B0=-2.29880E-01,B1=1.63170E+00,C0=9.99380E-02,C1=4.19490E-03,C2=5.91940E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4901782,851,A0=1.05130E+00,A1=-1.50000E-03,A2=4.81590E-01,B0=-2.24900E-01,B1=1.69570E+00,C0=9.05830E-02,C1=3.82360E-03,C2=5.40230E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4901784,990,A0=1.05130E+00,A1=-1.50000E-03,A2=4.35069E-01,B0=-2.31600E-01,B1=1.65080E+00,C0=9.87940E-02,C1=4.19250E-03,C2=5.59580E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4901785,987,A0=1.05130E+00,A1=-1.50000E-03,A2=3.83880E-01,B0=-2.36030E-01,B1=1.60480E+00,C0=1.06550E-01,C1=4.51490E-03,C2=6.18440E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4901786,989,A0=1.05130E+00,A1=-1.50000E-03,A2=2.9151e-001,B0=-2.3665e-001,B1=1.51680E+00,C0=1.20440E-01,C1=5.10410E-03,C2=7.05020E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4901790,994,A0=1.05130E+00,A1=-1.50000E-03,A2=4.38700E-01,B0=-2.34930E-01,B1=1.69750E+00,C0=9.90720E-02,C1=4.20140E-03,C2=5.64720E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4901791,992,A0=1.05130E+00,A1=-1.50000E-03,A2=4.27420E-01,B0=-2.22020E-01,B1=1.63890E+00,C0=9.61150E-02,C1=4.07950E-03,C2=5.64390E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4901808,1128,A0=1.05130E+00,A1=-1.50000E-03,A2=3.91280E-01,B0=-2.14800E-01,B1=1.60200E+00,C0=1.03040E-01,C1=4.34710E-03,C2=5.72480E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902383,1252,A0=1.05130E+00,A1=-1.50000E-03,A2=4.53360E-01,B0=-2.33970E-01,B1=1.67440E+00,C0=9.54250E-02,C1=4.03950E-03,C2=5.41780E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902384,1134,A0=1.05130E+00,A1=-1.50000E-03,A2=4.07590E-01,B0=-2.21570E-01,B1=1.62130E+00,C0=1.01210E-02,C1=4.27290E-03,C2=5.72360E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902385,1135,A0=1.05130E+00,A1=-1.50000E-03,A2=4.79150E-01,B0=-2.10160E-01,B1=1.68080E+00,C0=9.11690E-02,C1=3.84410E-03,C2=4.96280E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902386,1246,A0=1.05130E+00,A1=-1.50000E-03,A2=4.76220E-01,B0=-2.23340E-01,B1=1.68910E+00,C0=9.13750E-02,C1=3.86450E-03,C2=5.11190E-05,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902414,1420,A0=1.05130E+00,A1=-1.50000E-03,A2=5.0533e-001,B0=-1.9485e-001,B1=1.6956e+00,C0=8.5696e-002,C1=3.5631e-003,C2=4.5915e-005,E=1.10000E-02,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902390,1395,A0=1.05130E+00,A1=-1.50000E-03,A2=4.1073E-01,B0=-2.3762E-001,B1=1.6365E+00,C0=9.9772E-002, C1=4.2379E-003,C2=5.9039E-005,E=1.1000E-002,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902409,1385,A0=1.05130E+00,A1=-1.50000E-03,A2= 3.9444E-001,B0=-2.1690E-001,B1=1.6063E+00,C0=1.0164E-001, C1=4.2662E-003,C2=5.7356E-005,E=1.1000E-002,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902410,1419,A0=1.05130E+00,A1=-1.50000E-03,A2= 3.9090E-001,B0=-2.2689E-001,B1=1.6121E+00,C0=1.0142E-001, C1=4.2821E-003,C2=5.9162E-005,E=1.1000E-002,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902416,1435,A0=1.05130E+00,A1=-1.50000E-03,A2= 3.3277E-001,B0=-2.1138E-001,B1=1.5404E+00,C0=1.0672E-001, C1=4.4107E-003,C2=6.3028E-005,E=1.1000E-002,Sref=0.0,Spreset=0.0,Pcoef1=0.11500,Pcoef2=0.00022,Pcoef3=0.04190,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44000E-04,SolB0=-6.24523E-03,SolB1=-7.37614E-03,SolB2=-1.03410e-2,SolB3=-8.17083E-03,SolC0=4.88682E-07,,,,,,,,,,,,,,,,,,,,,,,,,
4902480,3123,PhaseCoef0=-2.17500E00,PhaseCoef1=1.00000E00,PhaseCoef2=0.00000E00,PhaseCoef3=0.00000E00,ConcCoef0=0.00000E00,ConcCoef1=1.00000E00,c00=2.78521E-03,c01=1.23297E-04,c02=2.30093E-06,c03=4.51404E02,c04=-5.79445E-01,c05=-9.91449E01,c06=9.03881E00,Spreset=0.0,Pcoef1=0.1,Pcoef2=0.00022,Pcoef3=0.0419,B0=-6.24523E-03,B1=-7.37614e-03,B2=-1.0341E-02,B3=-8.17083e-03,C0=-4.88682e-07,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44E-04,,,,,,,,,,,,,,,,,,,,,,
4902481,3124,PhaseCoef0=-1.84900E00,PhaseCoef1=1.00000E00,PhaseCoef2=0.00000E00,PhaseCoef3=0.00000E00,ConcCoef0=0.00000E00,ConcCoef1=1.00000E00,c00=2.74913E-03,c01=1.21343E-04,c02=2.22187E-06,c03=2.17390E02,c04=-3.14270E-01,c05=-4.75586E01,c06=4.37026E00,Spreset=0.0,Pcoef1=0.1,Pcoef2=0.00022,Pcoef3=0.0419,B0=-6.24523E-03,B1=-7.37614e-03,B2=-1.0341E-02,B3=-8.17083e-03,C0=-4.88682e-07,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44E-04,,,,,,,,,,,,,,,,,,,,,,
4902549,3257,PhaseCoef0=-3.26400E00,PhaseCoef1=1.00000E00,PhaseCoef2=0.00000E00,PhaseCoef3=0.00000E00,ConcCoef0=0.00000E00,ConcCoef1=1.00000E00,c00=2.61321E-03,c01=1.15769E-04,c02=2.2534E-06,c03=1.93223E02,c04=-2.27400E-01,c05=-4.08895E01,c06=3.97899E00,Spreset=0.0,Pcoef1=0.1,Pcoef2=0.00022,Pcoef3=0.0419,B0=-6.24523E-03,B1=-7.37614e-03,B2=-1.0341E-02,B3=-8.17083e-03,C0=-4.88682e-07,D0=24.4543,D1=-67.4509,D2=-4.8489,D3=-5.44E-04,,,,,,,,,,,,,,,,,,,,,,
