lon lat slope
-6.300000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-6.200000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-6.100000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-6.000000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-5.900000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-5.800000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-5.700000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-5.600000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-5.500000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-5.400000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-5.300000000000000000e+01 -9.000000000000000000e+01 2.537427434300683515e+00
-5.200000000000000000e+01 -9.000000000000000000e+01 2.901925608786967814e+00
-5.100000000000000000e+01 -9.000000000000000000e+01 2.922174414342036730e+00
-5.000000000000000000e+01 -9.000000000000000000e+01 3.172713766970836513e+00
-4.900000000000000000e+01 -9.000000000000000000e+01 3.172713766970836513e+00
-4.800000000000000000e+01 -9.000000000000000000e+01 3.172713766970836513e+00
-4.700000000000000000e+01 -9.000000000000000000e+01 2.229420856837225795e+00
-4.600000000000000000e+01 -9.000000000000000000e+01 2.229420856837225795e+00
-4.500000000000000000e+01 -9.000000000000000000e+01 2.229420856837225795e+00
-4.400000000000000000e+01 -9.000000000000000000e+01 2.229420856837225795e+00
-4.300000000000000000e+01 -9.000000000000000000e+01 2.229420856837225795e+00
-4.200000000000000000e+01 -9.000000000000000000e+01 2.229420856837225795e+00
-4.100000000000000000e+01 -9.000000000000000000e+01 2.229420856837225795e+00
-4.000000000000000000e+01 -9.000000000000000000e+01 3.785237371674330387e+00
-3.900000000000000000e+01 -9.000000000000000000e+01 2.344413259813383110e+00
-3.800000000000000000e+01 -9.000000000000000000e+01 2.694738605391773678e+00
-3.700000000000000000e+01 -9.000000000000000000e+01 2.957253855202743420e+00
-3.600000000000000000e+01 -9.000000000000000000e+01 3.037952449974103075e+00
-3.500000000000000000e+01 -9.000000000000000000e+01 2.460251099747724268e+00
-3.400000000000000000e+01 -9.000000000000000000e+01 2.364506604034803061e+00
-3.300000000000000000e+01 -9.000000000000000000e+01 2.332763593732365415e+00
-3.200000000000000000e+01 -9.000000000000000000e+01 2.263800718621119312e+00
-3.100000000000000000e+01 -9.000000000000000000e+01 2.493470703638125396e+00
-3.000000000000000000e+01 -9.000000000000000000e+01 2.356176248963712805e+00
-2.900000000000000000e+01 -9.000000000000000000e+01 2.252892122084084736e+00
-2.800000000000000000e+01 -9.000000000000000000e+01 2.237210521260759144e+00
-2.700000000000000000e+01 -9.000000000000000000e+01 2.274496631773343491e+00
-2.600000000000000000e+01 -9.000000000000000000e+01 2.183221228633529520e+00
-2.500000000000000000e+01 -9.000000000000000000e+01 2.283439274772135263e+00
-2.400000000000000000e+01 -9.000000000000000000e+01 2.221131061965265552e+00
-2.300000000000000000e+01 -9.000000000000000000e+01 2.286567626436630363e+00
-2.200000000000000000e+01 -9.000000000000000000e+01 2.286567626436630363e+00
-2.100000000000000000e+01 -9.000000000000000000e+01 2.286567626436630363e+00
-2.000000000000000000e+01 -9.000000000000000000e+01 2.286567626436630363e+00
-1.900000000000000000e+01 -9.000000000000000000e+01 2.286567626436630363e+00
-1.800000000000000000e+01 -9.000000000000000000e+01 2.286567626436630363e+00
-1.700000000000000000e+01 -9.000000000000000000e+01 2.286567626436630363e+00
-1.600000000000000000e+01 -9.000000000000000000e+01 2.940936739687355583e+00
-1.500000000000000000e+01 -9.000000000000000000e+01 2.940936739687355583e+00
-1.400000000000000000e+01 -9.000000000000000000e+01 2.940936739687355583e+00
-1.300000000000000000e+01 -9.000000000000000000e+01 2.940936739687355583e+00
-1.200000000000000000e+01 -9.000000000000000000e+01 2.002544036895411494e+00
-1.100000000000000000e+01 -9.000000000000000000e+01 2.002544036895411494e+00
-1.000000000000000000e+01 -9.000000000000000000e+01 2.002544036895411494e+00
-9.000000000000000000e+00 -9.000000000000000000e+01 2.002544036895411494e+00
-8.000000000000000000e+00 -9.000000000000000000e+01 2.107902081581081166e+00
-7.000000000000000000e+00 -9.000000000000000000e+01 2.107902081581081166e+00
-6.000000000000000000e+00 -9.000000000000000000e+01 2.107902081581081166e+00
-5.000000000000000000e+00 -9.000000000000000000e+01 2.107902081581081166e+00
-4.000000000000000000e+00 -9.000000000000000000e+01 1.905276227208634543e+00
-3.000000000000000000e+00 -9.000000000000000000e+01 2.067279221634245712e+00
-2.000000000000000000e+00 -9.000000000000000000e+01 2.692814822680395626e+00
-1.000000000000000000e+00 -9.000000000000000000e+01 2.668908209523814801e+00
0.000000000000000000e+00 -9.000000000000000000e+01 3.015513805643174727e+00
1.000000000000000000e+00 -9.000000000000000000e+01 3.223477814929160523e+00
2.000000000000000000e+00 -9.000000000000000000e+01 3.276535339848312134e+00
3.000000000000000000e+00 -9.000000000000000000e+01 2.929710864620428623e+00
4.000000000000000000e+00 -9.000000000000000000e+01 3.084420892124996705e+00
5.000000000000000000e+00 -9.000000000000000000e+01 2.887543973168101186e+00
6.000000000000000000e+00 -9.000000000000000000e+01 2.382679993044065636e+00
7.000000000000000000e+00 -9.000000000000000000e+01 2.241672617383816846e+00
8.000000000000000000e+00 -9.000000000000000000e+01 2.138608420941450206e+00
9.000000000000000000e+00 -9.000000000000000000e+01 2.142926573443559413e+00
1.000000000000000000e+01 -9.000000000000000000e+01 1.906235246448222176e+00
1.100000000000000000e+01 -9.000000000000000000e+01 1.906235246448222176e+00
1.200000000000000000e+01 -9.000000000000000000e+01 1.906235246448222176e+00
1.300000000000000000e+01 -9.000000000000000000e+01 1.906235246448222176e+00
1.400000000000000000e+01 -9.000000000000000000e+01 1.906235246448222176e+00
1.500000000000000000e+01 -9.000000000000000000e+01 3.346549839043878372e+00
1.600000000000000000e+01 -9.000000000000000000e+01 3.346549839043878372e+00
1.700000000000000000e+01 -9.000000000000000000e+01 3.346549839043878372e+00
1.800000000000000000e+01 -9.000000000000000000e+01 3.346549839043878372e+00
1.900000000000000000e+01 -9.000000000000000000e+01 2.910319482940903146e+00
2.000000000000000000e+01 -9.000000000000000000e+01 3.113834447922299020e+00
2.100000000000000000e+01 -9.000000000000000000e+01 3.080497574551877449e+00
2.200000000000000000e+01 -9.000000000000000000e+01 2.478009016906503881e+00
2.300000000000000000e+01 -9.000000000000000000e+01 2.450438870522180235e+00
